virusCode	viralUniprotID	hostUniprotID	viralGeneName	viralProteinName
HPV18	P06790	Q09472	E2	Regulatory protein E2
HPV16	P03129	P30153	E7	Protein E7
HPV16	P03126	P38398	E6	Protein E6
HPV18	P06463	P28066	E6	Protein E6
HPV18	P06463	P60900	E6	Protein E6
HPV18	P06463	Q99460	E6	Protein E6
HPV18	P06463	P25789	E6	Protein E6
HPV18	P06463	P07858	E6	Protein E6
HPV18	P06792	P08195	E5	Probable protein E5
HPV18	P06792	P05556	E5	Probable protein E5
HPV16	P06927	P05556	E5	Probable protein E5
HPV16	P06927	P08195	E5	Probable protein E5
HPV16	P03129	Q15369	E7	Protein E7
HPV16	P03129	P20618	E7	Protein E7
HPV18	P06788	P68104	E7	Protein E7
HPV16	P03126	P28074	E6	Protein E6
HPV16	P03129	Q09472	E7	Protein E7
HPV16	P03129	P68104	E7	Protein E7
HPV16	P03126	P20618	E6	Protein E6
HPV18	P06463	P23458	E6	Protein E6
HPV18	P06788	Q5T4S7	E7	Protein E7
HPV16	P03129	P06733	E7	Protein E7
HPV16	P03129	Q5T4S7	E7	Protein E7
HPV16	P03129	P23458	E7	Protein E7
HPV18	P06792	P05023	E5	Probable protein E5
HPV16	P06927	P05023	E5	Probable protein E5
HPV16	P03129	P14618	E7	Protein E7
HPV18	P06788	P14618	E7	Protein E7
HPV18	P06792	P18031	E5	Probable protein E5
HPV16	P06927	P18031	E5	Probable protein E5
HPV16	P06927	P11717	E5	Probable protein E5
HPV16	P03129	P24941	E7	Protein E7
HPV18	P06463	P04637	E6	Protein E6
HPV18	P06788	P60709	E7	Protein E7
HPV16	P03120	P04637	E2	Regulatory protein E2
HPV16	P03126	P04637	E6	Protein E6
HPV16	P03129	P60709	E7	Protein E7
HPV16	P03120	O60885	E2	Regulatory protein E2
HPV18	P06463	Q14204	E6	Protein E6
HTL1C	P0C745	Q8N1K5	HBZ	HTLV-1 basic zipper factor
HTL1C	P14079	Q6PF05	tax	Protein Tax-1
HTL1C	P14079	Q9H4K1	tax	Protein Tax-1
HTL1C	P14079	Q8N883	tax	Protein Tax-1
HTL1C	P14079	Q9BY27	tax	Protein Tax-1
HTL1C	P14079	Q969F0	tax	Protein Tax-1
HTL1C	P14079	Q969H6	tax	Protein Tax-1
HTL1C	P14079	Q6ZVK8	tax	Protein Tax-1
HTL1C	P14079	Q92546	tax	Protein Tax-1
HTL1C	P14079	Q5T8I9	tax	Protein Tax-1
HTL1C	P14079	P19013	tax	Protein Tax-1
HTL1C	P14079	P19012	tax	Protein Tax-1
HTL1C	P14079	P78560	tax	Protein Tax-1
HTL1C	P14079	O14595	tax	Protein Tax-1
HTL1C	P14079	O15287	tax	Protein Tax-1
HTL1C	P14079	Q53HC0	tax	Protein Tax-1
HTL1A	P03409	Q01085	tax	Protein Tax-1
HTL1C	P14079	P43268	tax	Protein Tax-1
HTL1C	P14079	Q33E94	tax	Protein Tax-1
HTL1C	P14079	Q9GZT8	tax	Protein Tax-1
HTL1C	P14079	P82932	tax	Protein Tax-1
HTL1C	P14079	Q96MT8	tax	Protein Tax-1
HTL1A	P03409	Q13283	tax	Protein Tax-1
HTL1A	P03409	O14920	tax	Protein Tax-1
HTL1C	P14079	Q8IZQ1	tax	Protein Tax-1
HTL1C	P14079	Q9NP87	tax	Protein Tax-1
HTL1C	P14079	P29474	tax	Protein Tax-1
HTL1A	P03409	Q9UBN7	tax	Protein Tax-1
HTL1C	P14079	P05787	tax	Protein Tax-1
HHV8	F5HBQ9	P82909	ORF70	Thymidylate synthase
HHV8	E5LBT9	O15131	orf17	Capsid scaffolding protein
