virusCode	viralUniprotID	hostUniprotID	viralGeneName	viralProteinName
HPV16	P06927	Q96K19	E5	Probable protein E5
HPV16	P06927	Q96FQ6	E5	Probable protein E5
HPV16	P06927	P60468	E5	Probable protein E5
HPV16	P06927	Q99442	E5	Probable protein E5
HPV16	P06927	Q8NEW0	E5	Probable protein E5
HPV16	P06927	Q9H2V7	E5	Probable protein E5
HPV16	P06927	Q9Y5M8	E5	Probable protein E5
HPV16	P06927	O15260	E5	Probable protein E5
HPV16	P06927	Q9HD45	E5	Probable protein E5
HPV16	P06927	Q9BSA9	E5	Probable protein E5
HPV18	P06788	P50479	E7	Protein E7
HPV18	P06788	Q15005	E7	Protein E7
HPV18	P06463	Q9Y3D0	E6	Protein E6
HPV18	P06788	P24864	E7	Protein E7
HPV18	P06463	Q13227	E6	Protein E6
HPV16	P03129	Q14209	E7	Protein E7
HPV18	P06463	Q4G0F5	E6	Protein E6
HPV18	P06788	Q9P0J7	E7	Protein E7
HPV18	P06792	Q9BZG1	E5	Probable protein E5
HPV18	P06792	Q8IXI2	E5	Probable protein E5
HPV18	P06792	Q8WVM8	E5	Probable protein E5
HPV18	P06792	Q9UGP8	E5	Probable protein E5
HPV18	P06792	P78381	E5	Probable protein E5
HPV18	P06792	P08240	E5	Probable protein E5
HPV18	P06792	Q9NZ01	E5	Probable protein E5
HPV18	P06792	P42166	E5	Probable protein E5
HPV18	P06792	Q9P0L0	E5	Probable protein E5
HPV18	P06792	Q9GZM5	E5	Probable protein E5
HPV18	P06792	Q8NBU5	E5	Probable protein E5
HPV18	P06792	P18859	E5	Probable protein E5
HPV18	P06792	P50402	E5	Probable protein E5
HPV18	P06792	Q969X5	E5	Probable protein E5
HPV18	P06792	A0FGR8	E5	Probable protein E5
HPV18	P06792	Q96CS3	E5	Probable protein E5
HPV18	P06792	Q96TC7	E5	Probable protein E5
HPV18	P06792	Q92616	E5	Probable protein E5
HPV18	P06792	O94851	E5	Probable protein E5
HPV18	P06792	Q9Y6C9	E5	Probable protein E5
HPV18	P06792	Q9NX40	E5	Probable protein E5
HPV16	P06927	Q8N2K0	E5	Probable protein E5
HPV16	P06927	P00846	E5	Probable protein E5
HPV16	P06927	Q5VV42	E5	Probable protein E5
HPV16	P06927	P08172	E5	Probable protein E5
HPV16	P06927	Q96DZ1	E5	Probable protein E5
HPV16	P06927	Q01628	E5	Probable protein E5
HPV16	P06927	Q9NZJ7	E5	Probable protein E5
HPV16	P06927	Q9H490	E5	Probable protein E5
HPV16	P06927	Q9P035	E5	Probable protein E5
HPV16	P06927	Q9NP72	E5	Probable protein E5
HPV16	P06927	P67812	E5	Probable protein E5
HPV16	P06927	Q9NZV5	E5	Probable protein E5
HPV16	P06927	Q8NBJ9	E5	Probable protein E5
HPV16	P06927	Q9Y6N5	E5	Probable protein E5
HPV16	P06927	P51571	E5	Probable protein E5
HPV16	P06927	P57088	E5	Probable protein E5
HPV16	P06927	Q96BY9	E5	Probable protein E5
HPV16	P06927	Q15629	E5	Probable protein E5
HPV16	P03129	Q9UHR5	E7	Protein E7
HPV16	P03129	Q96EK4	E7	Protein E7
HPV18	P06788	Q9UNK0	E7	Protein E7
HPV18	P06463	Q9Y2S7	E6	Protein E6
HPV18	P06463	O14896	E6	Protein E6
HPV18	P06463	Q9Y244	E6	Protein E6
HPV18	P06463	Q9Y3C4	E6	Protein E6
HPV16	P03129	O00716	E7	Protein E7
HPV18	P06463	Q8IZ07	E6	Protein E6
HPV18	P06463	O15260	E6	Protein E6
HPV18	P06463	O95967	E6	Protein E6
HPV18	P06463	P28300	E6	Protein E6
HPV18	P06463	Q9UJ70	E6	Protein E6
HPV18	P06463	P35080	E6	Protein E6
HPV18	P06463	Q71UM5	E6	Protein E6
HPV18	P06788	Q16254	E7	Protein E7
HPV18	P06788	Q08999	E7	Protein E7
HPV18	P06788	Q71UM5	E7	Protein E7
HPV18	P06788	Q9Y6N5	E7	Protein E7
HPV18	P06792	Q969N2	E5	Probable protein E5
HPV18	P06792	Q8IY17	E5	Probable protein E5
HPV18	P06792	Q15165	E5	Probable protein E5
HPV18	P06792	Q8TC12	E5	Probable protein E5
HPV18	P06792	Q9NRX5	E5	Probable protein E5
HPV18	P06792	Q9UP95	E5	Probable protein E5
HPV18	P06792	Q96BI1	E5	Probable protein E5
HPV18	P06792	Q12846	E5	Probable protein E5
HPV18	P06792	Q9HC07	E5	Probable protein E5
HPV18	P06792	Q96JJ7	E5	Probable protein E5
HPV18	P06792	P23510	E5	Probable protein E5
HPV18	P06792	Q5T9L3	E5	Probable protein E5
HPV18	P06792	P28288	E5	Probable protein E5
HPV18	P06792	O43306	E5	Probable protein E5
HPV18	P06792	Q4KMQ2	E5	Probable protein E5
HPV18	P06792	Q9HD20	E5	Probable protein E5
HPV18	P06792	Q08722	E5	Probable protein E5
HPV18	P06792	O96005	E5	Probable protein E5
HPV18	P06792	Q14318	E5	Probable protein E5
HPV18	P06792	O60353	E5	Probable protein E5
HPV18	P06792	O43292	E5	Probable protein E5
HPV18	P06792	Q8TCT9	E5	Probable protein E5
HPV18	P06792	P28331	E5	Probable protein E5
HPV18	P06792	Q96AQ6	E5	Probable protein E5
HPV16	P06927	P18859	E5	Probable protein E5
HPV16	P06927	P50402	E5	Probable protein E5
HPV16	P06927	Q969X5	E5	Probable protein E5
HPV16	P06927	A0FGR8	E5	Probable protein E5
HPV16	P06927	Q96CS3	E5	Probable protein E5
HPV16	P06927	Q14332	E5	Probable protein E5
HPV16	P06927	O60353	E5	Probable protein E5
HPV16	P06927	O43292	E5	Probable protein E5
HPV16	P06927	O94851	E5	Probable protein E5
HPV16	P06927	Q9Y6C9	E5	Probable protein E5
HPV16	P06927	Q15165	E5	Probable protein E5
HPV16	P06927	O95470	E5	Probable protein E5
HPV16	P06927	Q9UP95	E5	Probable protein E5
HPV16	P06927	Q9NZ01	E5	Probable protein E5
HPV16	P06927	Q6NUQ4	E5	Probable protein E5
HPV16	P06927	P42166	E5	Probable protein E5
HPV16	P06927	Q96JJ7	E5	Probable protein E5
HPV16	P06927	O75762	E5	Probable protein E5
HPV16	P06927	Q9GZM5	E5	Probable protein E5
HPV18	P06790	P09496	E2	Regulatory protein E2
HPV18	P06790	O95235	E2	Regulatory protein E2
HPV18	P06790	Q96JC1	E2	Regulatory protein E2
HPV18	P06790	Q8N1B4	E2	Regulatory protein E2
HPV16	P03129	Q9UHC7	E7	Protein E7
HPV16	P03129	Q9NQ31	E7	Protein E7
HPV16	P03129	P50479	E7	Protein E7
HPV16	P03129	Q16831	E7	Protein E7
HPV16	P03129	Q14168	E7	Protein E7
HPV16	P03129	Q15005	E7	Protein E7
HPV16	P03129	O94842	E7	Protein E7
HPV18	P06788	P28749	E7	Protein E7
HPV16	P03126	P59190	E6	Protein E6
HPV18	P06463	P55327	E6	Protein E6
HPV18	P06463	O95551	E6	Protein E6
HPV18	P06463	Q9UBE0	E6	Protein E6
HPV18	P06463	Q96F44	E6	Protein E6
HPV18	P06463	O43760	E6	Protein E6
HPV18	P06463	P32942	E6	Protein E6
HPV16	P03126	Q9UHV2	E6	Protein E6
HPV18	P06789	P09914	E1	Replication protein E1
HPV16	P03129	Q16254	E7	Protein E7
HPV16	P03129	O96020	E7	Protein E7
HPV18	P06463	P09543	E6	Protein E6
HPV18	P06463	Q13425	E6	Protein E6
HPV18	P06463	Q14192	E6	Protein E6
HPV18	P06463	Q92616	E6	Protein E6
HPV18	P06463	Q9Y6N5	E6	Protein E6
HPV18	P06463	O75436	E6	Protein E6
HPV18	P06463	Q15942	E6	Protein E6
HPV18	P06788	O14579	E7	Protein E7
HPV18	P06788	Q15678	E7	Protein E7
