?hostUniprotID	?hostProteinName	?pathwayKEGG
"O60353"	"Frizzled-6"	"path_hsa05012"
"O43292"	"GPI-anchor transamidase component GPAA1"	"path_hsa05012"
"P28331"	"NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial"	"path_hsa05014"
"O95470"	"Sphingosine-1-phosphate lyase 1"	"path_hsa05014"
"O75762"	"Transient receptor potential cation channel subfamily A member 1"	"path_hsa05014"
"P09496"	"Clathrin light chain A"	"path_hsa05014"
"Q96JC1"	"Vam6/Vps39-like protein"	"path_hsa05014"
"P28749"	"Retinoblastoma-like protein 1"	"path_hsa05014"
"Q9UBE0"	"SUMO-activating enzyme subunit 1"	"path_hsa05014"
"P32942"	"Intercellular adhesion molecule 3"	"path_hsa05014"
"P09914"	"Antiviral innate immune response effector IFIT1"	"path_hsa05014"
"O96020"	"G1/S-specific cyclin-E2"	"path_hsa05014"
"O96020"	"G1/S-specific cyclin-E2"	"path_hsa05016"
"Q13425"	"Beta-2-syntrophin"	"path_hsa05016"
"Q14192"	"Four and a half LIM domains protein 2"	"path_hsa05016"
"O75436"	"Vacuolar protein sorting-associated protein 26A"	"path_hsa05016"
"Q15942"	"Zyxin"	"path_hsa05016"
"P49810"	"Presenilin-2"	"path_hsa05016"
"P62834"	"Ras-related protein Rap-1A"	"path_hsa05016"
"P61619"	"Protein transport protein Sec61 subunit alpha isoform 1"	"path_hsa05016"
"P07093"	"Glia-derived nexin"	"path_hsa05016"
"Q8TCJ2"	"Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3B"	"path_hsa05017"
"Q03518"	"Antigen peptide transporter 1"	"path_hsa05017"
"O15533"	"Tapasin"	"path_hsa05017"
"Q9Y5S1"	"Transient receptor potential cation channel subfamily V member 2"	"path_hsa05017"
"P33897"	"ATP-binding cassette sub-family D member 1"	"path_hsa05017"
"P36542"	"\"ATP synthase F(1) complex subunit gamma, mitochondrial\""	"path_hsa05017"
"P24539"	"ATP synthase peripheral stalk subunit b, mitochondrial"	"path_hsa05020"
"P48047"	"ATP synthase peripheral stalk subunit OSCP, mitochondrial"	"path_hsa05020"
"P00403"	"Cytochrome c oxidase subunit 2"	"path_hsa05020"
"P50416"	"Carnitine O-palmitoyltransferase 1, liver isoform"	"path_hsa05020"
"O95864"	"Acyl-CoA 6-desaturase"	"path_hsa05020"
"P25445"	"Tumor necrosis factor receptor superfamily member 6"	"path_hsa05020"
"P25445"	"Tumor necrosis factor receptor superfamily member 6"	"path_hsa05022"
"P30519"	"Heme oxygenase 2"	"path_hsa05022"
"Q7Z434"	"Mitochondrial antiviral-signaling protein"	"path_hsa05022"
"Q9UKV5"	"E3 ubiquitin-protein ligase AMFR"	"path_hsa05022"
"Q15858"	"Sodium channel protein type 9 subunit alpha"	"path_hsa05022"
"Q15329"	"Transcription factor E2F5"	"path_hsa05022"
"P17936"	"Insulin-like growth factor-binding protein 3"	"path_hsa05022"
"Q9Y6Q5"	"AP-1 complex subunit mu-2"	"path_hsa05022"
"Q9Y6Q5"	"AP-1 complex subunit mu-2"	"path_hsa05030"
"Q9UBS4"	"DnaJ homolog subfamily B member 11"	"path_hsa05030"
"P04632"	"Calpain small subunit 1"	"path_hsa05030"
"P35250"	"Replication factor C subunit 2"	"path_hsa05031"
"P35250"	"Replication factor C subunit 2"	"path_hsa05032"
"P35250"	"Replication factor C subunit 2"	"path_hsa05034"
"Q96QZ7"	"Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 1"	"path_hsa05034"
"P17676"	"CCAAT/enhancer-binding protein beta"	"path_hsa05034"
"P17676"	"CCAAT/enhancer-binding protein beta"	"path_hsa05100"
"Q14188"	"Transcription factor Dp-2"	"path_hsa05100"
"Q01813"	"ATP-dependent 6-phosphofructokinase, platelet type"	"path_hsa05100"
"Q01813"	"ATP-dependent 6-phosphofructokinase, platelet type"	"path_hsa05110"
"Q01813"	"ATP-dependent 6-phosphofructokinase, platelet type"	"path_hsa05120"
"Q01813"	"ATP-dependent 6-phosphofructokinase, platelet type"	"path_hsa05130"
"P63151"	"Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B alpha isoform"	"path_hsa05130"
"P63151"	"Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B alpha isoform"	"path_hsa05131"
"Q9UBQ0"	"Vacuolar protein sorting-associated protein 29"	"path_hsa05131"
"Q14186"	"Transcription factor Dp-1"	"path_hsa05131"
"O15427"	"Monocarboxylate transporter 4"	"path_hsa05131"
"P49755"	"Transmembrane emp24 domain-containing protein 10"	"path_hsa05131"
"Q92973"	"Transportin-1"	"path_hsa05131"
"P21964"	"Catechol O-methyltransferase"	"path_hsa05131"
"P21964"	"Catechol O-methyltransferase"	"path_hsa05132"
"P39656"	"Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit"	"path_hsa05132"
"P25116"	"Proteinase-activated receptor 1"	"path_hsa05132"
"Q10472"	"Polypeptide N-acetylgalactosaminyltransferase 1"	"path_hsa05133"
"Q10472"	"Polypeptide N-acetylgalactosaminyltransferase 1"	"path_hsa05134"
"P17302"	"Gap junction alpha-1 protein"	"path_hsa05134"
"P30281"	"G1/S-specific cyclin-D3"	"path_hsa05135"
"P30281"	"G1/S-specific cyclin-D3"	"path_hsa05140"
"P30281"	"G1/S-specific cyclin-D3"	"path_hsa05142"
"Q96EY1"	"DnaJ homolog subfamily A member 3, mitochondrial"	"path_hsa05142"
"P25106"	"Atypical chemokine receptor 3"	"path_hsa05142"
"O75528"	"Transcriptional adapter 3"	"path_hsa05142"
"Q9NYY3"	"Serine/threonine-protein kinase PLK2"	"path_hsa05142"
"Q13158"	"FAS-associated death domain protein"	"path_hsa05143"
"Q13158"	"FAS-associated death domain protein"	"path_hsa05145"
"Q13158"	"FAS-associated death domain protein"	"path_hsa05146"
"Q13158"	"FAS-associated death domain protein"	"path_hsa05150"
"Q13158"	"FAS-associated death domain protein"	"path_hsa05152"
"Q13158"	"FAS-associated death domain protein"	"path_hsa05160"
"Q92547"	"DNA topoisomerase 2-binding protein 1"	"path_hsa05160"
"Q01094"	"Transcription factor E2F1"	"path_hsa05160"
"Q01094"	"Transcription factor E2F1"	"path_hsa05161"
"Q92831"	"Histone acetyltransferase KAT2B"	"path_hsa05161"
"P12110"	"\"Collagen alpha-2(VI) chain\""	"path_hsa05161"
"Q14393"	"Growth arrest-specific protein 6"	"path_hsa05161"
"P11166"	"Solute carrier family 2, facilitated glucose transporter member 1"	"path_hsa05161"
"P11166"	"Solute carrier family 2, facilitated glucose transporter member 1"	"path_hsa05162"
"P04920"	"Anion exchange protein 2"	"path_hsa05162"
"P46977"	"Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3A"	"path_hsa05162"
"Q03519"	"Antigen peptide transporter 2"	"path_hsa05162"
"Q9HBA0"	"Transient receptor potential cation channel subfamily V member 4"	"path_hsa05163"
"P23634"	"Plasma membrane calcium-transporting ATPase 4"	"path_hsa05163"
"Q6IAA8"	"Ragulator complex protein LAMTOR1"	"path_hsa05163"
"O00767"	"Stearoyl-CoA desaturase"	"path_hsa05163"
"P26641"	"Elongation factor 1-gamma"	"path_hsa05163"
"Q13362"	"Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit gamma isoform"	"path_hsa05163"
"Q13362"	"Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit gamma isoform"	"path_hsa05164"
"Q14671"	"Pumilio homolog 1"	"path_hsa05164"
"P36507"	"Dual specificity mitogen-activated protein kinase kinase 2"	"path_hsa05164"
"P36507"	"Dual specificity mitogen-activated protein kinase kinase 2"	"path_hsa05165"
"P36507"	"Dual specificity mitogen-activated protein kinase kinase 2"	"path_hsa05166"
"P05412"	"Transcription factor Jun"	"path_hsa05166"
"P05412"	"Transcription factor Jun"	"path_hsa05167"
"P05412"	"Transcription factor Jun"	"path_hsa05168"
"P05412"	"Transcription factor Jun"	"path_hsa05169"
"O15111"	"Inhibitor of nuclear factor kappa-B kinase subunit alpha"	"path_hsa05169"
"O15111"	"Inhibitor of nuclear factor kappa-B kinase subunit alpha"	"path_hsa05170"
"Q9UHD8"	"Septin-9"	"path_hsa05170"
"P31689"	"DnaJ homolog subfamily A member 1"	"path_hsa05170"
"Q92633"	"Lysophosphatidic acid receptor 1"	"path_hsa05170"
"P50281"	"Matrix metalloproteinase-14"	"path_hsa05170"
"P11802"	"Cyclin-dependent kinase 4"	"path_hsa05171"
"Q9NQC7"	"Ubiquitin carboxyl-terminal hydrolase CYLD"	"path_hsa05171"
"P16144"	"Integrin beta-4"	"path_hsa05171"
"P13667"	"Protein disulfide-isomerase A4"	"path_hsa05200"
"Q14160"	"Protein scribble homolog"	"path_hsa05200"
"P19438"	"Tumor necrosis factor receptor superfamily member 1A"	"path_hsa05200"
"P19438"	"Tumor necrosis factor receptor superfamily member 1A"	"path_hsa05202"
"Q01650"	"Large neutral amino acids transporter small subunit 1"	"path_hsa05202"
"O15439"	"ATP-binding cassette sub-family C member 4"	"path_hsa05202"
"P04114"	"Apolipoprotein B-100"	"path_hsa05202"
"P04114"	"Apolipoprotein B-100"	"path_hsa05203"
"Q86WV6"	"Stimulator of interferon genes protein"	"path_hsa05203"
"Q9NRY4"	"Rho GTPase-activating protein 35"	"path_hsa05203"
"P67775"	"Serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform"	"path_hsa05203"
"P42677"	"Small ribosomal subunit protein eS27"	"path_hsa05203"
"P04844"	"Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2"	"path_hsa05203"
"Q15758"	"\"Neutral amino acid transporter B(0)\""	"path_hsa05204"
"Q15758"	"\"Neutral amino acid transporter B(0)\""	"path_hsa05205"
"Q03135"	"Caveolin-1"	"path_hsa05205"
"O95782"	"AP-2 complex subunit alpha-1"	"path_hsa05205"
"Q96CW1"	"AP-2 complex subunit mu"	"path_hsa05205"
"Q96CW1"	"AP-2 complex subunit mu"	"path_hsa05206"
"Q00535"	"Cyclin-dependent kinase 5"	"path_hsa05206"
"P29590"	"Protein PML"	"path_hsa05206"
"P06400"	"Retinoblastoma-associated protein"	"path_hsa05206"
"P06400"	"Retinoblastoma-associated protein"	"path_hsa05207"
"P06400"	"Retinoblastoma-associated protein"	"path_hsa05208"
"P18848"	"Cyclic AMP-dependent transcription factor ATF-4"	"path_hsa05208"
"P18848"	"Cyclic AMP-dependent transcription factor ATF-4"	"path_hsa05210"
"P18848"	"Cyclic AMP-dependent transcription factor ATF-4"	"path_hsa05211"
"P18848"	"Cyclic AMP-dependent transcription factor ATF-4"	"path_hsa05212"
"Q13485"	"Mothers against decapentaplegic homolog 4"	"path_hsa05212"
"Q13485"	"Mothers against decapentaplegic homolog 4"	"path_hsa05213"
"Q13485"	"Mothers against decapentaplegic homolog 4"	"path_hsa05214"
"Q13485"	"Mothers against decapentaplegic homolog 4"	"path_hsa05215"
"Q13547"	"Histone deacetylase 1"	"path_hsa05215"
"Q13547"	"Histone deacetylase 1"	"path_hsa05216"
"Q13547"	"Histone deacetylase 1"	"path_hsa05217"
"P33527"	"Multidrug resistance-associated protein 1"	"path_hsa05217"
"P33527"	"Multidrug resistance-associated protein 1"	"path_hsa05218"
"P27824"	"Calnexin"	"path_hsa05218"
"P29597"	"Non-receptor tyrosine-protein kinase TYK2"	"path_hsa05218"
"P29597"	"Non-receptor tyrosine-protein kinase TYK2"	"path_hsa05219"
"P29597"	"Non-receptor tyrosine-protein kinase TYK2"	"path_hsa05220"
"P20248"	"Cyclin-A2"	"path_hsa05220"
"P20248"	"Cyclin-A2"	"path_hsa05221"
"Q9UNM6"	"26S proteasome non-ATPase regulatory subunit 13"	"path_hsa05222"
"P10644"	"cAMP-dependent protein kinase type I-alpha regulatory subunit"	"path_hsa05222"
"Q96QK1"	"Vacuolar protein sorting-associated protein 35"	"path_hsa05222"
"P30101"	"Protein disulfide-isomerase A3"	"path_hsa05222"
"O43166"	"Signal-induced proliferation-associated 1-like protein 1"	"path_hsa05223"
"P52292"	"Importin subunit alpha-1"	"path_hsa05223"
"O14773"	"Tripeptidyl-peptidase 1"	"path_hsa05223"
"P07339"	"Cathepsin D"	"path_hsa05223"
"P07339"	"Cathepsin D"	"path_hsa05224"
"P38398"	"Breast cancer type 1 susceptibility protein"	"path_hsa05224"
"O95714"	"E3 ubiquitin-protein ligase HERC2"	"path_hsa05224"
"P30153"	"Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform"	"path_hsa05224"
"P30153"	"Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform"	"path_hsa05225"
"O00231"	"26S proteasome non-ATPase regulatory subunit 11"	"path_hsa05225"
"O00231"	"26S proteasome non-ATPase regulatory subunit 11"	"path_hsa05226"
"Q15369"	"Elongin-C"	"path_hsa05226"
"Q15370"	"Elongin-B"	"path_hsa05226"
"Q15370"	"Elongin-B"	"path_hsa05230"
"O60814"	"Histone H2B type 1-K"	"path_hsa05230"
"Q09472"	"Histone acetyltransferase p300"	"path_hsa05230"
"Q09472"	"Histone acetyltransferase p300"	"path_hsa05231"
"Q09472"	"Histone acetyltransferase p300"	"path_hsa05235"
"Q09472"	"Histone acetyltransferase p300"	"path_hsa05320"
"Q09472"	"Histone acetyltransferase p300"	"path_hsa05321"
"Q09472"	"Histone acetyltransferase p300"	"path_hsa05322"
"Q09472"	"Histone acetyltransferase p300"	"path_hsa05323"
"Q09472"	"Histone acetyltransferase p300"	"path_hsa05330"
"P08195"	"Amino acid transporter heavy chain SLC3A2"	"path_hsa05332"
"P08195"	"Amino acid transporter heavy chain SLC3A2"	"path_hsa05340"
"P05556"	"Integrin beta-1"	"path_hsa05410"
"P05556"	"Integrin beta-1"	"path_hsa05412"
"P05556"	"Integrin beta-1"	"path_hsa05414"
"P05556"	"Integrin beta-1"	"path_hsa05415"
"P68104"	"Elongation factor 1-alpha 1"	"path_hsa05415"
"P23458"	"Tyrosine-protein kinase JAK1"	"path_hsa05415"
"P23458"	"Tyrosine-protein kinase JAK1"	"path_hsa05416"
"P23458"	"Tyrosine-protein kinase JAK1"	"path_hsa05417"
"Q5T4S7"	"E3 ubiquitin-protein ligase UBR4"	"path_hsa05417"
"P06733"	"Alpha-enolase"	"path_hsa05417"
"P06733"	"Alpha-enolase"	"path_hsa05418"
"P05023"	"Sodium/potassium-transporting ATPase subunit alpha-1"	"path_hsa05418"
