?hostUniprotID	?hostProteinName	?pathwayKEGG
"Q8N1F7"	"Nuclear pore complex protein Nup93"	"path_hsa03030"
"P55060"	"Exportin-2"	"path_hsa03040"
"P62316"	"Small nuclear ribonucleoprotein Sm D2"	"path_hsa03040"
"P28065"	"Proteasome subunit beta type-9"	"path_hsa03040"
"Q9UL46"	"Proteasome activator complex subunit 2"	"path_hsa03040"
"O15269"	"Serine palmitoyltransferase 1"	"path_hsa03040"
"O60565"	"Gremlin-1"	"path_hsa03040"
"P52926"	"High mobility group protein HMGI-C"	"path_hsa03050"
"Q9NZI8"	"Insulin-like growth factor 2 mRNA-binding protein 1"	"path_hsa03050"
"Q96SB4"	"SRSF protein kinase 1"	"path_hsa03050"
"Q13114"	"TNF receptor-associated factor 3"	"path_hsa03050"
"O43318"	"Mitogen-activated protein kinase kinase kinase 7"	"path_hsa03050"
"O43318"	"Mitogen-activated protein kinase kinase kinase 7"	"path_hsa03060"
"O43318"	"Mitogen-activated protein kinase kinase kinase 7"	"path_hsa03082"
"O43318"	"Mitogen-activated protein kinase kinase kinase 7"	"path_hsa03083"
"O00203"	"AP-3 complex subunit beta-1"	"path_hsa03083"
"P01106"	"Myc proto-oncogene protein"	"path_hsa03250"
"P01106"	"Myc proto-oncogene protein"	"path_hsa03266"
"P01106"	"Myc proto-oncogene protein"	"path_hsa03271"
"P01106"	"Myc proto-oncogene protein"	"path_hsa03272"
"P01106"	"Myc proto-oncogene protein"	"path_hsa03273"
"P01106"	"Myc proto-oncogene protein"	"path_hsa03320"
"P01106"	"Myc proto-oncogene protein"	"path_hsa03410"
"P01106"	"Myc proto-oncogene protein"	"path_hsa03420"
"P01106"	"Myc proto-oncogene protein"	"path_hsa03430"
"P01106"	"Myc proto-oncogene protein"	"path_hsa03440"
"P01106"	"Myc proto-oncogene protein"	"path_hsa03450"
"P01106"	"Myc proto-oncogene protein"	"path_hsa03460"
"Q92878"	"DNA repair protein RAD50"	"path_hsa04010"
"Q9Y265"	"RuvB-like 1"	"path_hsa04010"
"P61978"	"Heterogeneous nuclear ribonucleoprotein K"	"path_hsa04010"
"P07195"	"L-lactate dehydrogenase B chain"	"path_hsa04010"
"P35268"	"Large ribosomal subunit protein eL22"	"path_hsa04010"
"P09619"	"Platelet-derived growth factor receptor beta"	"path_hsa04012"
"P09619"	"Platelet-derived growth factor receptor beta"	"path_hsa04014"
"P09619"	"Platelet-derived growth factor receptor beta"	"path_hsa04015"
"P09619"	"Platelet-derived growth factor receptor beta"	"path_hsa04020"
"P28062"	"Proteasome subunit beta type-8"	"path_hsa04020"
"Q14997"	"Proteasome activator complex subunit 4"	"path_hsa04020"
"Q8N474"	"Secreted frizzled-related protein 1"	"path_hsa04020"
"P38936"	"Cyclin-dependent kinase inhibitor 1"	"path_hsa04020"
"P38936"	"Cyclin-dependent kinase inhibitor 1"	"path_hsa04022"
"P38936"	"Cyclin-dependent kinase inhibitor 1"	"path_hsa04024"
"P38936"	"Cyclin-dependent kinase inhibitor 1"	"path_hsa04060"
"P38936"	"Cyclin-dependent kinase inhibitor 1"	"path_hsa04061"
"P38936"	"Cyclin-dependent kinase inhibitor 1"	"path_hsa04062"
"P38936"	"Cyclin-dependent kinase inhibitor 1"	"path_hsa04064"
"Q9UNE7"	"E3 ubiquitin-protein ligase CHIP"	"path_hsa04064"
"Q12797"	"Aspartyl/asparaginyl beta-hydroxylase"	"path_hsa04064"
"P16615"	"Sarcoplasmic/endoplasmic reticulum calcium ATPase 2"	"path_hsa04064"
"P16615"	"Sarcoplasmic/endoplasmic reticulum calcium ATPase 2"	"path_hsa04066"
"P16615"	"Sarcoplasmic/endoplasmic reticulum calcium ATPase 2"	"path_hsa04068"
"O60716"	"Catenin delta-1"	"path_hsa04068"
"P68363"	"Tubulin alpha-1B chain"	"path_hsa04068"
"P68363"	"Tubulin alpha-1B chain"	"path_hsa04070"
"P68363"	"Tubulin alpha-1B chain"	"path_hsa04071"
"P09012"	"U1 small nuclear ribonucleoprotein A"	"path_hsa04071"
"Q07020"	"Large ribosomal subunit protein eL18"	"path_hsa04071"
"P46934"	"E3 ubiquitin-protein ligase NEDD4"	"path_hsa04071"
"Q99623"	"Prohibitin-2"	"path_hsa04071"
"P55036"	"26S proteasome non-ATPase regulatory subunit 4"	"path_hsa04071"
"P55036"	"26S proteasome non-ATPase regulatory subunit 4"	"path_hsa04072"
"P37173"	"TGF-beta receptor type-2"	"path_hsa04072"
"P37173"	"TGF-beta receptor type-2"	"path_hsa04080"
"P37173"	"TGF-beta receptor type-2"	"path_hsa04081"
"P37173"	"TGF-beta receptor type-2"	"path_hsa04082"
"P37173"	"TGF-beta receptor type-2"	"path_hsa04110"
"Q9NQC3"	"Reticulon-4"	"path_hsa04110"
"P63279"	"SUMO-conjugating enzyme UBC9"	"path_hsa04110"
"P19338"	"Nucleolin"	"path_hsa04110"
"P62899"	"Large ribosomal subunit protein eL31"	"path_hsa04110"
"P06493"	"Cyclin-dependent kinase 1"	"path_hsa04110"
"O95071"	"E3 ubiquitin-protein ligase UBR5"	"path_hsa04110"
"P32969"	"Large ribosomal subunit protein uL6"	"path_hsa04110"
"P11279"	"Lysosome-associated membrane glycoprotein 1"	"path_hsa04114"
"P67870"	"Casein kinase II subunit beta"	"path_hsa04114"
"P67870"	"Casein kinase II subunit beta"	"path_hsa04115"
"Q99873"	"Protein arginine N-methyltransferase 1"	"path_hsa04115"
"P62891"	"Large ribosomal subunit protein eL39"	"path_hsa04120"
"P10909"	"Clusterin"	"path_hsa04120"
"P06756"	"Integrin alpha-V"	"path_hsa04120"
"P06756"	"Integrin alpha-V"	"path_hsa04130"
"P06756"	"Integrin alpha-V"	"path_hsa04136"
"Q7KZF4"	"Staphylococcal nuclease domain-containing protein 1"	"path_hsa04137"
"P62266"	"Small ribosomal subunit protein uS12"	"path_hsa04137"
"P28072"	"Proteasome subunit beta type-6"	"path_hsa04137"
"P07437"	"Tubulin beta chain"	"path_hsa04140"
"P07437"	"Tubulin beta chain"	"path_hsa04141"
"P09651"	"Heterogeneous nuclear ribonucleoprotein A1"	"path_hsa04141"
"P62249"	"Small ribosomal subunit protein uS9"	"path_hsa04141"
"P07814"	"Bifunctional glutamate/proline--tRNA ligase"	"path_hsa04141"
"P62829"	"Large ribosomal subunit protein uL14"	"path_hsa04141"
"P17844"	"Probable ATP-dependent RNA helicase DDX5"	"path_hsa04141"
"P18621"	"Large ribosomal subunit protein uL22"	"path_hsa04141"
"P62241"	"Small ribosomal subunit protein eS8"	"path_hsa04141"
"Q96PU5"	"E3 ubiquitin-protein ligase NEDD4-like"	"path_hsa04141"
"P61513"	"Large ribosomal subunit protein eL43"	"path_hsa04141"
"P23497"	"Nuclear autoantigen Sp-100"	"path_hsa04141"
"Q93009"	"Ubiquitin carboxyl-terminal hydrolase 7"	"path_hsa04141"
"P62269"	"Small ribosomal subunit protein uS13"	"path_hsa04142"
"P18124"	"Large ribosomal subunit protein uL30"	"path_hsa04142"
"P15880"	"Small ribosomal subunit protein uS5"	"path_hsa04142"
"P08708"	"Small ribosomal subunit protein eS17"	"path_hsa04142"
"P35998"	"26S proteasome regulatory subunit 7"	"path_hsa04142"
"P35998"	"26S proteasome regulatory subunit 7"	"path_hsa04144"
"P62277"	"Small ribosomal subunit protein uS15"	"path_hsa04144"
"Q96J02"	"E3 ubiquitin-protein ligase Itchy homolog"	"path_hsa04144"
"P16070"	"CD44 antigen"	"path_hsa04144"
"O15031"	"Plexin-B2"	"path_hsa04144"
"P62333"	"26S proteasome regulatory subunit 10B"	"path_hsa04144"
"P62333"	"26S proteasome regulatory subunit 10B"	"path_hsa04145"
"O00487"	"26S proteasome non-ATPase regulatory subunit 14"	"path_hsa04145"
"O00487"	"26S proteasome non-ATPase regulatory subunit 14"	"path_hsa04146"
"Q15008"	"26S proteasome non-ATPase regulatory subunit 6"	"path_hsa04146"
"Q15008"	"26S proteasome non-ATPase regulatory subunit 6"	"path_hsa04148"
"P51665"	"26S proteasome non-ATPase regulatory subunit 7"	"path_hsa04148"
"P51665"	"26S proteasome non-ATPase regulatory subunit 7"	"path_hsa04150"
"P48556"	"26S proteasome non-ATPase regulatory subunit 8"	"path_hsa04150"
"O00308"	"NEDD4-like E3 ubiquitin-protein ligase WWP2"	"path_hsa04151"
"P46778"	"Large ribosomal subunit protein eL21"	"path_hsa04151"
"P49207"	"Large ribosomal subunit protein eL34"	"path_hsa04151"
"P42766"	"Large ribosomal subunit protein uL29"	"path_hsa04151"
"Q92900"	"Regulator of nonsense transcripts 1"	"path_hsa04151"
"P07237"	"Protein disulfide-isomerase"	"path_hsa04151"
"P12004"	"Proliferating cell nuclear antigen"	"path_hsa04151"
"P40429"	"Large ribosomal subunit protein uL13"	"path_hsa04151"
"P26373"	"Large ribosomal subunit protein eL13"	"path_hsa04151"
"O75533"	"Splicing factor 3B subunit 1"	"path_hsa04151"
"P62424"	"Large ribosomal subunit protein eL8"	"path_hsa04151"
"P61247"	"Small ribosomal subunit protein eS1"	"path_hsa04151"
"P62917"	"Large ribosomal subunit protein uL2"	"path_hsa04152"
"P62753"	"Small ribosomal subunit protein eS6"	"path_hsa04152"
"P62753"	"Small ribosomal subunit protein eS6"	"path_hsa04210"
"Q00839"	"Heterogeneous nuclear ribonucleoprotein U"	"path_hsa04210"
"P22626"	"Heterogeneous nuclear ribonucleoproteins A2/B1"	"path_hsa04210"
"P46781"	"Small ribosomal subunit protein uS4"	"path_hsa04210"
"P13010"	"X-ray repair cross-complementing protein 5"	"path_hsa04210"
"P25788"	"Proteasome subunit alpha type-3"	"path_hsa04210"
"P25788"	"Proteasome subunit alpha type-3"	"path_hsa04211"
"P60900"	"Proteasome subunit alpha type-6"	"path_hsa04211"
"P60900"	"Proteasome subunit alpha type-6"	"path_hsa04213"
"P60900"	"Proteasome subunit alpha type-6"	"path_hsa04215"
"P60900"	"Proteasome subunit alpha type-6"	"path_hsa04216"
"O14818"	"Proteasome subunit alpha type-7"	"path_hsa04216"
"O14818"	"Proteasome subunit alpha type-7"	"path_hsa04217"
"P49721"	"Proteasome subunit beta type-2"	"path_hsa04217"
"P49721"	"Proteasome subunit beta type-2"	"path_hsa04218"
"P49720"	"Proteasome subunit beta type-3"	"path_hsa04218"
"P28070"	"Proteasome subunit beta type-4"	"path_hsa04218"
"P28074"	"Proteasome subunit beta type-5"	"path_hsa04218"
"P28074"	"Proteasome subunit beta type-5"	"path_hsa04260"
"Q99436"	"Proteasome subunit beta type-7"	"path_hsa04261"
"P62191"	"26S proteasome regulatory subunit 4"	"path_hsa04261"
"P62191"	"26S proteasome regulatory subunit 4"	"path_hsa04270"
"P62191"	"26S proteasome regulatory subunit 4"	"path_hsa04310"
"P17980"	"26S proteasome regulatory subunit 6A"	"path_hsa04310"
"P43686"	"26S proteasome regulatory subunit 6B"	"path_hsa04310"
"P43686"	"26S proteasome regulatory subunit 6B"	"path_hsa04330"
"P43686"	"26S proteasome regulatory subunit 6B"	"path_hsa04350"
"P62195"	"26S proteasome regulatory subunit 8"	"path_hsa04350"
"O43242"	"26S proteasome non-ATPase regulatory subunit 3"	"path_hsa04350"
"O43242"	"26S proteasome non-ATPase regulatory subunit 3"	"path_hsa04360"
"O43242"	"26S proteasome non-ATPase regulatory subunit 3"	"path_hsa04370"
"O43242"	"26S proteasome non-ATPase regulatory subunit 3"	"path_hsa04371"
"P46779"	"Large ribosomal subunit protein eL28"	"path_hsa04371"
"P39023"	"Large ribosomal subunit protein uL3"	"path_hsa04371"
"P62847"	"Small ribosomal subunit protein eS24"	"path_hsa04380"
"Q13200"	"26S proteasome non-ATPase regulatory subunit 2"	"path_hsa04380"
"P62807"	"Histone H2B type 1-C/E/F/G/I"	"path_hsa04380"
"P62807"	"Histone H2B type 1-C/E/F/G/I"	"path_hsa04382"
"P62807"	"Histone H2B type 1-C/E/F/G/I"	"path_hsa04390"
"P25786"	"Proteasome subunit alpha type-1"	"path_hsa04390"
"P25786"	"Proteasome subunit alpha type-1"	"path_hsa04510"
"P25787"	"Proteasome subunit alpha type-2"	"path_hsa04510"
"P25789"	"Proteasome subunit alpha type-4"	"path_hsa04510"
"P25789"	"Proteasome subunit alpha type-4"	"path_hsa04512"
"P28066"	"Proteasome subunit alpha type-5"	"path_hsa04514"
"P28066"	"Proteasome subunit alpha type-5"	"path_hsa04517"
"P20618"	"Proteasome subunit beta type-1"	"path_hsa04517"
"P20618"	"Proteasome subunit beta type-1"	"path_hsa04520"
"Q99460"	"26S proteasome non-ATPase regulatory subunit 1"	"path_hsa04520"
"Q99460"	"26S proteasome non-ATPase regulatory subunit 1"	"path_hsa04530"
"P62081"	"Small ribosomal subunit protein eS7"	"path_hsa04530"
"P07858"	"Cathepsin B"	"path_hsa04530"
"O75643"	"U5 small nuclear ribonucleoprotein 200 kDa helicase"	"path_hsa04530"
"P68400"	"Casein kinase II subunit alpha"	"path_hsa04530"
"P68400"	"Casein kinase II subunit alpha"	"path_hsa04540"
"P11021"	"Endoplasmic reticulum chaperone BiP"	"path_hsa04540"
"P11021"	"Endoplasmic reticulum chaperone BiP"	"path_hsa04550"
"Q00610"	"Clathrin heavy chain 1"	"path_hsa04610"
"Q00610"	"Clathrin heavy chain 1"	"path_hsa04611"
"P10809"	"60 kDa heat shock protein, mitochondrial"	"path_hsa04611"
"Q6P2Q9"	"Pre-mRNA-processing-splicing factor 8"	"path_hsa04611"
"P11142"	"Heat shock cognate 71 kDa protein"	"path_hsa04611"
"P11142"	"Heat shock cognate 71 kDa protein"	"path_hsa04612"
"Q9GZX7"	"Single-stranded DNA cytosine deaminase"	"path_hsa04612"
"P31941"	"DNA dC->dU-editing enzyme APOBEC-3A"	"path_hsa04613"
"P13987"	"CD59 glycoprotein"	"path_hsa04613"
"Q9HC16"	"DNA dC->dU-editing enzyme APOBEC-3G"	"path_hsa04613"
"P09493"	"Tropomyosin alpha-1 chain"	"path_hsa04613"
"P09493"	"Tropomyosin alpha-1 chain"	"path_hsa04620"
"Q16531"	"DNA damage-binding protein 1"	"path_hsa04620"
"Q13309"	"S-phase kinase-associated protein 2"	"path_hsa04620"
"Q13309"	"S-phase kinase-associated protein 2"	"path_hsa04621"
"Q13619"	"Cullin-4A"	"path_hsa04621"
"Q05086"	"Ubiquitin-protein ligase E3A"	"path_hsa04621"
"Q5RI15"	"Cytochrome c oxidase assembly protein COX20, mitochondrial"	"path_hsa04621"
"Q567V2"	"Mpv17-like protein 2"	"path_hsa04623"
"Q9NRP0"	"Oligosaccharyltransferase complex subunit OSTC"	"path_hsa04630"
"Q9HCU5"	"Guanine nucleotide-exchange factor SEC12"	"path_hsa04630"
"Q8NHG7"	"Small VCP/p97-interacting protein"	"path_hsa04650"
"P21731"	"Thromboxane A2 receptor"	"path_hsa04657"
"P30411"	"B2 bradykinin receptor"	"path_hsa04657"
"P30411"	"B2 bradykinin receptor"	"path_hsa04658"
"P30411"	"B2 bradykinin receptor"	"path_hsa04659"
"Q9NXW2"	"DnaJ homolog subfamily B member 12"	"path_hsa04659"
"O60725"	"Protein-S-isoprenylcysteine O-methyltransferase"	"path_hsa04660"
"P30559"	"Oxytocin receptor"	"path_hsa04660"
"P30559"	"Oxytocin receptor"	"path_hsa04662"
"Q99500"	"Sphingosine 1-phosphate receptor 3"	"path_hsa04668"
"O75396"	"Vesicle-trafficking protein SEC22b"	"path_hsa04668"
"Q9UNL2"	"Translocon-associated protein subunit gamma"	"path_hsa04668"
"P61803"	"Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1"	"path_hsa04670"
"P61803"	"Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1"	"path_hsa04713"
"Q9GZP9"	"Derlin-2"	"path_hsa04714"
"O75438"	"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 1"	"path_hsa04714"
"O75438"	"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 1"	"path_hsa04720"
"O75438"	"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 1"	"path_hsa04721"
"Q96S52"	"GPI-anchor transamidase component PIGS"	"path_hsa04722"
"P23219"	"Prostaglandin G/H synthase 1"	"path_hsa04722"
"Q71UM5"	"Ribosomal protein eS27-like"	"path_hsa04723"
"P60468"	"Protein transport protein Sec61 subunit beta"	"path_hsa04725"
"P60468"	"Protein transport protein Sec61 subunit beta"	"path_hsa04726"
"P60468"	"Protein transport protein Sec61 subunit beta"	"path_hsa04727"
"Q99442"	"Translocation protein SEC62"	"path_hsa04728"
"P57088"	"Transmembrane protein 33"	"path_hsa04730"
"Q9BT22"	"Chitobiosyldiphosphodolichol beta-mannosyltransferase"	"path_hsa04742"
"O75964"	"\"ATP synthase F(0) complex subunit g, mitochondrial\""	"path_hsa04810"
"Q9Y6K0"	"Choline/ethanolaminephosphotransferase 1"	"path_hsa04810"
"Q7KZN9"	"Heme A synthase COX15"	"path_hsa04810"
"Q6PIU2"	"Neutral cholesterol ester hydrolase 1"	"path_hsa04814"
"P37059"	"17-beta-hydroxysteroid dehydrogenase type 2"	"path_hsa04820"
"P49458"	"Signal recognition particle 9 kDa protein"	"path_hsa04820"
"Q5H8A4"	"GPI ethanolamine phosphate transferase 2, catalytic subunit"	"path_hsa04820"
"Q8TEQ8"	"GPI ethanolamine phosphate transferase 3, catalytic subunit"	"path_hsa04820"
"Q9H490"	"GPI-anchor transamidase component PIGU"	"path_hsa04820"
"P67812"	"Signal peptidase complex catalytic subunit SEC11A"	"path_hsa04912"
"P51571"	"Translocon-associated protein subunit delta"	"path_hsa04912"
"O75947"	"ATP synthase peripheral stalk subunit d, mitochondrial"	"path_hsa04914"
"O75947"	"ATP synthase peripheral stalk subunit d, mitochondrial"	"path_hsa04915"
"P00846"	"\"ATP synthase F(0) complex subunit a\""	"path_hsa04916"
"P00846"	"\"ATP synthase F(0) complex subunit a\""	"path_hsa04917"
"P00846"	"\"ATP synthase F(0) complex subunit a\""	"path_hsa04918"
"Q96G23"	"Ceramide synthase 2"	"path_hsa04919"
"P08172"	"Muscarinic acetylcholine receptor M2"	"path_hsa04919"
"Q14332"	"Frizzled-2"	"path_hsa04919"
"Q14332"	"Frizzled-2"	"path_hsa04920"
"Q14332"	"Frizzled-2"	"path_hsa04921"
"O75084"	"Frizzled-7"	"path_hsa04921"
"O75084"	"Frizzled-7"	"path_hsa04922"
"O75084"	"Frizzled-7"	"path_hsa04923"
"O75084"	"Frizzled-7"	"path_hsa04924"
"Q53GQ0"	"Very-long-chain 3-oxoacyl-CoA reductase"	"path_hsa04925"
"P10620"	"Microsomal glutathione S-transferase 1"	"path_hsa04927"
"P10620"	"Microsomal glutathione S-transferase 1"	"path_hsa04928"
"Q13724"	"Mannosyl-oligosaccharide glucosidase"	"path_hsa04929"
"Q13724"	"Mannosyl-oligosaccharide glucosidase"	"path_hsa04930"
"Q92643"	"GPI-anchor transamidase"	"path_hsa04931"
"Q15005"	"Signal peptidase complex subunit 2"	"path_hsa04931"
"P24864"	"G1/S-specific cyclin-E1"	"path_hsa04932"
"P24864"	"G1/S-specific cyclin-E1"	"path_hsa04933"
"P24864"	"G1/S-specific cyclin-E1"	"path_hsa04934"
"Q13227"	"G protein pathway suppressor 2"	"path_hsa04934"
"Q14209"	"Transcription factor E2F2"	"path_hsa04934"
"Q14209"	"Transcription factor E2F2"	"path_hsa04935"
"Q14209"	"Transcription factor E2F2"	"path_hsa04936"
"Q4G0F5"	"Vacuolar protein sorting-associated protein 26B"	"path_hsa04936"
"Q8IXI2"	"Mitochondrial Rho GTPase 1"	"path_hsa04936"
"Q9UGP8"	"Translocation protein SEC63 homolog"	"path_hsa04936"
"P08240"	"Signal recognition particle receptor subunit alpha"	"path_hsa04940"
"Q9P0L0"	"Vesicle-associated membrane protein-associated protein A"	"path_hsa04961"
"P18859"	"ATP synthase peripheral stalk subunit F6, mitochondrial"	"path_hsa04961"
"P18859"	"ATP synthase peripheral stalk subunit F6, mitochondrial"	"path_hsa04962"
"P18859"	"ATP synthase peripheral stalk subunit F6, mitochondrial"	"path_hsa04964"
"P18859"	"ATP synthase peripheral stalk subunit F6, mitochondrial"	"path_hsa04970"
"Q96DZ1"	"Endoplasmic reticulum lectin 1"	"path_hsa04972"
"Q9Y244"	"Proteasome maturation protein"	"path_hsa04974"
"O00716"	"Transcription factor E2F3"	"path_hsa04974"
"O00716"	"Transcription factor E2F3"	"path_hsa04975"
"O00716"	"Transcription factor E2F3"	"path_hsa04976"
"O00716"	"Transcription factor E2F3"	"path_hsa04977"
"O00716"	"Transcription factor E2F3"	"path_hsa04978"
"O00716"	"Transcription factor E2F3"	"path_hsa04979"
"O00716"	"Transcription factor E2F3"	"path_hsa04980"
"O00716"	"Transcription factor E2F3"	"path_hsa04981"
"Q16254"	"Transcription factor E2F4"	"path_hsa05010"
"Q08999"	"Retinoblastoma-like protein 2"	"path_hsa05010"
"Q969N2"	"GPI-anchor transamidase component PIGT"	"path_hsa05010"
"Q12846"	"Syntaxin-4"	"path_hsa05010"
"P23510"	"Tumor necrosis factor ligand superfamily member 4"	"path_hsa05010"
"P28288"	"ATP-binding cassette sub-family D member 3"	"path_hsa05010"
"O43306"	"Adenylate cyclase type 6"	"path_hsa05010"
"O43306"	"Adenylate cyclase type 6"	"path_hsa05012"
"Q08722"	"Leukocyte surface antigen CD47"	"path_hsa05012"
"Q14318"	"Peptidyl-prolyl cis-trans isomerase FKBP8"	"path_hsa05012"
