?hostProtein	?hostProteinName	?pathway	?pathwayName
<http://localhost:8080/source/Q06330>	"Recombining binding protein suppressor of hairless"@en	<path:hsa00010>	"Epstein-Barr virus infection - Homo sapiens (human)"@en
<http://localhost:8080/source/Q06330>	"Recombining binding protein suppressor of hairless"@en	<path:hsa00010>	"Human papillomavirus infection - Homo sapiens (human)"@en
<http://localhost:8080/source/Q06330>	"Recombining binding protein suppressor of hairless"@en	<path:hsa00010>	"Notch signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/Q06330>	"Recombining binding protein suppressor of hairless"@en	<path:hsa00010>	"Spinocerebellar ataxia - Homo sapiens (human)"@en
<http://localhost:8080/source/Q06330>	"Recombining binding protein suppressor of hairless"@en	<path:hsa00010>	"Th1 and Th2 cell differentiation - Homo sapiens (human)"@en
<http://localhost:8080/source/Q06330>	"Recombining binding protein suppressor of hairless"@en	<path:hsa00010>	"Viral carcinogenesis - Homo sapiens (human)"@en
<http://localhost:8080/source/Q06330>	"Recombining binding protein suppressor of hairless"	<path:hsa00010>	"Epstein-Barr virus infection - Homo sapiens (human)"@en
<http://localhost:8080/source/Q06330>	"Recombining binding protein suppressor of hairless"	<path:hsa00010>	"Human papillomavirus infection - Homo sapiens (human)"@en
<http://localhost:8080/source/Q06330>	"Recombining binding protein suppressor of hairless"	<path:hsa00010>	"Notch signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/Q06330>	"Recombining binding protein suppressor of hairless"	<path:hsa00010>	"Spinocerebellar ataxia - Homo sapiens (human)"@en
<http://localhost:8080/source/Q06330>	"Recombining binding protein suppressor of hairless"	<path:hsa00010>	"Th1 and Th2 cell differentiation - Homo sapiens (human)"@en
<http://localhost:8080/source/Q06330>	"Recombining binding protein suppressor of hairless"	<path:hsa00010>	"Viral carcinogenesis - Homo sapiens (human)"@en
<http://localhost:8080/source/P56524>	"Histone deacetylase 4"@en	<path:hsa01100>	"Epstein-Barr virus infection - Homo sapiens (human)"@en
<http://localhost:8080/source/P56524>	"Histone deacetylase 4"@en	<path:hsa01100>	"Viral carcinogenesis - Homo sapiens (human)"@en
<http://localhost:8080/source/P56524>	"Histone deacetylase 4"@en	<path:hsa01100>	"Spliceosome - Homo sapiens (human)"@en
<http://localhost:8080/source/P56524>	"Histone deacetylase 4"@en	<path:hsa01100>	"Protein processing in endoplasmic reticulum - Homo sapiens (human)"@en
<http://localhost:8080/source/P56524>	"Histone deacetylase 4"@en	<path:hsa01100>	"Shigellosis - Homo sapiens (human)"@en
<http://localhost:8080/source/P56524>	"Histone deacetylase 4"@en	<path:hsa01100>	"Salmonella infection - Homo sapiens (human)"@en
<http://localhost:8080/source/P56524>	"Histone deacetylase 4"@en	<path:hsa01100>	"MAPK signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/P56524>	"Histone deacetylase 4"@en	<path:hsa01100>	"Necroptosis - Homo sapiens (human)"@en
<http://localhost:8080/source/P56524>	"Histone deacetylase 4"@en	<path:hsa01100>	"Neutrophil extracellular trap formation - Homo sapiens (human)"@en
<http://localhost:8080/source/P56524>	"Histone deacetylase 4"@en	<path:hsa01100>	"Influenza A - Homo sapiens (human)"@en
<http://localhost:8080/source/P56524>	"Histone deacetylase 4"@en	<path:hsa01100>	"Endocytosis - Homo sapiens (human)"@en
<http://localhost:8080/source/P56524>	"Histone deacetylase 4"@en	<path:hsa01100>	"NF-kappa B signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/P56524>	"Histone deacetylase 4"@en	<path:hsa01100>	"IL-17 signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/P56524>	"Histone deacetylase 4"@en	<path:hsa01100>	"Alcoholic liver disease - Homo sapiens (human)"@en
<http://localhost:8080/source/P56524>	"Histone deacetylase 4"@en	<path:hsa01100>	"Pathogenic Escherichia coli infection - Homo sapiens (human)"@en
<http://localhost:8080/source/P56524>	"Histone deacetylase 4"@en	<path:hsa01100>	"TNF signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/P56524>	"Histone deacetylase 4"@en	<path:hsa01100>	"Measles - Homo sapiens (human)"@en
<http://localhost:8080/source/P56524>	"Histone deacetylase 4"@en	<path:hsa01100>	"Herpes simplex virus 1 infection - Homo sapiens (human)"@en
<http://localhost:8080/source/P56524>	"Histone deacetylase 4"@en	<path:hsa01100>	"Human immunodeficiency virus 1 infection - Homo sapiens (human)"@en
<http://localhost:8080/source/P56524>	"Histone deacetylase 4"@en	<path:hsa01100>	"Alcoholism - Homo sapiens (human)"@en
<http://localhost:8080/source/P56524>	"Histone deacetylase 4"@en	<path:hsa01100>	"Apelin signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/P56524>	"Histone deacetylase 4"@en	<path:hsa01100>	"Arrhythmogenic right ventricular cardiomyopathy - Homo sapiens (human)"@en
<http://localhost:8080/source/P56524>	"Histone deacetylase 4"@en	<path:hsa01100>	"Coronavirus disease - COVID-19 - Homo sapiens (human)"@en
<http://localhost:8080/source/P56524>	"Histone deacetylase 4"@en	<path:hsa01100>	"Dilated cardiomyopathy - Homo sapiens (human)"@en
<http://localhost:8080/source/P56524>	"Histone deacetylase 4"@en	<path:hsa01100>	"Hepatitis B - Homo sapiens (human)"@en
<http://localhost:8080/source/P56524>	"Histone deacetylase 4"@en	<path:hsa01100>	"Hypertrophic cardiomyopathy - Homo sapiens (human)"@en
<http://localhost:8080/source/P56524>	"Histone deacetylase 4"@en	<path:hsa01100>	"Leishmaniasis - Homo sapiens (human)"@en
<http://localhost:8080/source/P56524>	"Histone deacetylase 4"@en	<path:hsa01100>	"Lipid and atherosclerosis - Homo sapiens (human)"@en
<http://localhost:8080/source/P56524>	"Histone deacetylase 4"@en	<path:hsa01100>	"Lysosome - Homo sapiens (human)"@en
<http://localhost:8080/source/P56524>	"Histone deacetylase 4"@en	<path:hsa01100>	"MicroRNAs in cancer - Homo sapiens (human)"@en
<http://localhost:8080/source/P56524>	"Histone deacetylase 4"@en	<path:hsa01100>	"Neurotrophin signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/P56524>	"Histone deacetylase 4"@en	<path:hsa01100>	"Nitrogen metabolism - Homo sapiens (human)"@en
<http://localhost:8080/source/P56524>	"Histone deacetylase 4"@en	<path:hsa01100>	"NOD-like receptor signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/P56524>	"Histone deacetylase 4"@en	<path:hsa01100>	"Osteoclast differentiation - Homo sapiens (human)"@en
<http://localhost:8080/source/P56524>	"Histone deacetylase 4"@en	<path:hsa01100>	"Proteasome - Homo sapiens (human)"@en
<http://localhost:8080/source/P56524>	"Histone deacetylase 4"@en	<path:hsa01100>	"Proteoglycans in cancer - Homo sapiens (human)"@en
<http://localhost:8080/source/P56524>	"Histone deacetylase 4"@en	<path:hsa01100>	"Proximal tubule bicarbonate reclamation - Homo sapiens (human)"@en
<http://localhost:8080/source/P56524>	"Histone deacetylase 4"@en	<path:hsa01100>	"Toll-like receptor signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/P56524>	"Histone deacetylase 4"@en	<path:hsa01100>	"Toxoplasmosis - Homo sapiens (human)"@en
<http://localhost:8080/source/P56524>	"Histone deacetylase 4"@en	<path:hsa01100>	"Vitamin digestion and absorption - Homo sapiens (human)"@en
<http://localhost:8080/source/P56524>	"Histone deacetylase 4"@en	<path:hsa01100>	"Yersinia infection - Homo sapiens (human)"@en
<http://localhost:8080/source/P56524>	"Histone deacetylase 4"	<path:hsa01100>	"Epstein-Barr virus infection - Homo sapiens (human)"@en
<http://localhost:8080/source/P56524>	"Histone deacetylase 4"	<path:hsa01100>	"Viral carcinogenesis - Homo sapiens (human)"@en
<http://localhost:8080/source/P56524>	"Histone deacetylase 4"	<path:hsa01100>	"Spliceosome - Homo sapiens (human)"@en
<http://localhost:8080/source/P56524>	"Histone deacetylase 4"	<path:hsa01100>	"Protein processing in endoplasmic reticulum - Homo sapiens (human)"@en
<http://localhost:8080/source/P56524>	"Histone deacetylase 4"	<path:hsa01100>	"Shigellosis - Homo sapiens (human)"@en
<http://localhost:8080/source/P56524>	"Histone deacetylase 4"	<path:hsa01100>	"Salmonella infection - Homo sapiens (human)"@en
<http://localhost:8080/source/P56524>	"Histone deacetylase 4"	<path:hsa01100>	"MAPK signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/P56524>	"Histone deacetylase 4"	<path:hsa01100>	"Necroptosis - Homo sapiens (human)"@en
<http://localhost:8080/source/P56524>	"Histone deacetylase 4"	<path:hsa01100>	"Neutrophil extracellular trap formation - Homo sapiens (human)"@en
<http://localhost:8080/source/P56524>	"Histone deacetylase 4"	<path:hsa01100>	"Influenza A - Homo sapiens (human)"@en
<http://localhost:8080/source/P56524>	"Histone deacetylase 4"	<path:hsa01100>	"Endocytosis - Homo sapiens (human)"@en
<http://localhost:8080/source/P56524>	"Histone deacetylase 4"	<path:hsa01100>	"NF-kappa B signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/P56524>	"Histone deacetylase 4"	<path:hsa01100>	"IL-17 signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/P56524>	"Histone deacetylase 4"	<path:hsa01100>	"Alcoholic liver disease - Homo sapiens (human)"@en
<http://localhost:8080/source/P56524>	"Histone deacetylase 4"	<path:hsa01100>	"Pathogenic Escherichia coli infection - Homo sapiens (human)"@en
<http://localhost:8080/source/P56524>	"Histone deacetylase 4"	<path:hsa01100>	"TNF signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/P56524>	"Histone deacetylase 4"	<path:hsa01100>	"Measles - Homo sapiens (human)"@en
<http://localhost:8080/source/P56524>	"Histone deacetylase 4"	<path:hsa01100>	"Herpes simplex virus 1 infection - Homo sapiens (human)"@en
<http://localhost:8080/source/P56524>	"Histone deacetylase 4"	<path:hsa01100>	"Human immunodeficiency virus 1 infection - Homo sapiens (human)"@en
<http://localhost:8080/source/P56524>	"Histone deacetylase 4"	<path:hsa01100>	"Alcoholism - Homo sapiens (human)"@en
<http://localhost:8080/source/P56524>	"Histone deacetylase 4"	<path:hsa01100>	"Apelin signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/P56524>	"Histone deacetylase 4"	<path:hsa01100>	"Arrhythmogenic right ventricular cardiomyopathy - Homo sapiens (human)"@en
<http://localhost:8080/source/P56524>	"Histone deacetylase 4"	<path:hsa01100>	"Coronavirus disease - COVID-19 - Homo sapiens (human)"@en
<http://localhost:8080/source/P56524>	"Histone deacetylase 4"	<path:hsa01100>	"Dilated cardiomyopathy - Homo sapiens (human)"@en
<http://localhost:8080/source/P56524>	"Histone deacetylase 4"	<path:hsa01100>	"Hepatitis B - Homo sapiens (human)"@en
<http://localhost:8080/source/P56524>	"Histone deacetylase 4"	<path:hsa01100>	"Hypertrophic cardiomyopathy - Homo sapiens (human)"@en
<http://localhost:8080/source/P56524>	"Histone deacetylase 4"	<path:hsa01100>	"Leishmaniasis - Homo sapiens (human)"@en
<http://localhost:8080/source/P56524>	"Histone deacetylase 4"	<path:hsa01100>	"Lipid and atherosclerosis - Homo sapiens (human)"@en
<http://localhost:8080/source/P56524>	"Histone deacetylase 4"	<path:hsa01100>	"Lysosome - Homo sapiens (human)"@en
<http://localhost:8080/source/P56524>	"Histone deacetylase 4"	<path:hsa01100>	"MicroRNAs in cancer - Homo sapiens (human)"@en
<http://localhost:8080/source/P56524>	"Histone deacetylase 4"	<path:hsa01100>	"Neurotrophin signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/P56524>	"Histone deacetylase 4"	<path:hsa01100>	"Nitrogen metabolism - Homo sapiens (human)"@en
<http://localhost:8080/source/P56524>	"Histone deacetylase 4"	<path:hsa01100>	"NOD-like receptor signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/P56524>	"Histone deacetylase 4"	<path:hsa01100>	"Osteoclast differentiation - Homo sapiens (human)"@en
<http://localhost:8080/source/P56524>	"Histone deacetylase 4"	<path:hsa01100>	"Proteasome - Homo sapiens (human)"@en
<http://localhost:8080/source/P56524>	"Histone deacetylase 4"	<path:hsa01100>	"Proteoglycans in cancer - Homo sapiens (human)"@en
<http://localhost:8080/source/P56524>	"Histone deacetylase 4"	<path:hsa01100>	"Proximal tubule bicarbonate reclamation - Homo sapiens (human)"@en
<http://localhost:8080/source/P56524>	"Histone deacetylase 4"	<path:hsa01100>	"Toll-like receptor signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/P56524>	"Histone deacetylase 4"	<path:hsa01100>	"Toxoplasmosis - Homo sapiens (human)"@en
<http://localhost:8080/source/P56524>	"Histone deacetylase 4"	<path:hsa01100>	"Vitamin digestion and absorption - Homo sapiens (human)"@en
<http://localhost:8080/source/P56524>	"Histone deacetylase 4"	<path:hsa01100>	"Yersinia infection - Homo sapiens (human)"@en
<http://localhost:8080/source/P35869>	"Aryl hydrocarbon receptor"@en	<path:hsa01232>	"Cell cycle - Homo sapiens (human)"@en
<http://localhost:8080/source/P35869>	"Aryl hydrocarbon receptor"@en	<path:hsa01232>	"Th17 cell differentiation - Homo sapiens (human)"@en
<http://localhost:8080/source/P35869>	"Aryl hydrocarbon receptor"	<path:hsa01232>	"Cell cycle - Homo sapiens (human)"@en
<http://localhost:8080/source/P35869>	"Aryl hydrocarbon receptor"	<path:hsa01232>	"Th17 cell differentiation - Homo sapiens (human)"@en
<http://localhost:8080/source/P35869>	"Aryl hydrocarbon receptor"@en	<path:hsa01240>	"Protein processing in endoplasmic reticulum - Homo sapiens (human)"@en
<http://localhost:8080/source/P35869>	"Aryl hydrocarbon receptor"@en	<path:hsa01240>	"Chemical carcinogenesis - reactive oxygen species - Homo sapiens (human)"@en
<http://localhost:8080/source/P35869>	"Aryl hydrocarbon receptor"@en	<path:hsa01240>	"Nucleocytoplasmic transport - Homo sapiens (human)"@en
<http://localhost:8080/source/P35869>	"Aryl hydrocarbon receptor"@en	<path:hsa01240>	"Chemical carcinogenesis - receptor activation - Homo sapiens (human)"@en
<http://localhost:8080/source/P35869>	"Aryl hydrocarbon receptor"@en	<path:hsa01240>	"Cushing syndrome - Homo sapiens (human)"@en
<http://localhost:8080/source/P35869>	"Aryl hydrocarbon receptor"@en	<path:hsa01240>	"Ferroptosis - Homo sapiens (human)"@en
<http://localhost:8080/source/P35869>	"Aryl hydrocarbon receptor"	<path:hsa01240>	"Protein processing in endoplasmic reticulum - Homo sapiens (human)"@en
<http://localhost:8080/source/P35869>	"Aryl hydrocarbon receptor"	<path:hsa01240>	"Chemical carcinogenesis - reactive oxygen species - Homo sapiens (human)"@en
<http://localhost:8080/source/P35869>	"Aryl hydrocarbon receptor"	<path:hsa01240>	"Nucleocytoplasmic transport - Homo sapiens (human)"@en
<http://localhost:8080/source/P35869>	"Aryl hydrocarbon receptor"	<path:hsa01240>	"Chemical carcinogenesis - receptor activation - Homo sapiens (human)"@en
<http://localhost:8080/source/P35869>	"Aryl hydrocarbon receptor"	<path:hsa01240>	"Cushing syndrome - Homo sapiens (human)"@en
<http://localhost:8080/source/P35869>	"Aryl hydrocarbon receptor"	<path:hsa01240>	"Ferroptosis - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y676>	"Small ribosomal subunit protein mS40"@en	<path:hsa01100>	"Epstein-Barr virus infection - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y676>	"Small ribosomal subunit protein mS40"@en	<path:hsa01100>	"Viral carcinogenesis - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y676>	"Small ribosomal subunit protein mS40"@en	<path:hsa01100>	"Spliceosome - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y676>	"Small ribosomal subunit protein mS40"@en	<path:hsa01100>	"Protein processing in endoplasmic reticulum - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y676>	"Small ribosomal subunit protein mS40"@en	<path:hsa01100>	"Shigellosis - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y676>	"Small ribosomal subunit protein mS40"@en	<path:hsa01100>	"Salmonella infection - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y676>	"Small ribosomal subunit protein mS40"@en	<path:hsa01100>	"MAPK signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y676>	"Small ribosomal subunit protein mS40"@en	<path:hsa01100>	"Necroptosis - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y676>	"Small ribosomal subunit protein mS40"@en	<path:hsa01100>	"Neutrophil extracellular trap formation - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y676>	"Small ribosomal subunit protein mS40"@en	<path:hsa01100>	"Influenza A - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y676>	"Small ribosomal subunit protein mS40"@en	<path:hsa01100>	"Endocytosis - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y676>	"Small ribosomal subunit protein mS40"@en	<path:hsa01100>	"NF-kappa B signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y676>	"Small ribosomal subunit protein mS40"@en	<path:hsa01100>	"IL-17 signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y676>	"Small ribosomal subunit protein mS40"@en	<path:hsa01100>	"Alcoholic liver disease - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y676>	"Small ribosomal subunit protein mS40"@en	<path:hsa01100>	"Pathogenic Escherichia coli infection - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y676>	"Small ribosomal subunit protein mS40"@en	<path:hsa01100>	"TNF signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y676>	"Small ribosomal subunit protein mS40"@en	<path:hsa01100>	"Measles - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y676>	"Small ribosomal subunit protein mS40"@en	<path:hsa01100>	"Herpes simplex virus 1 infection - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y676>	"Small ribosomal subunit protein mS40"@en	<path:hsa01100>	"Human immunodeficiency virus 1 infection - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y676>	"Small ribosomal subunit protein mS40"@en	<path:hsa01100>	"Alcoholism - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y676>	"Small ribosomal subunit protein mS40"@en	<path:hsa01100>	"Apelin signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y676>	"Small ribosomal subunit protein mS40"@en	<path:hsa01100>	"Arrhythmogenic right ventricular cardiomyopathy - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y676>	"Small ribosomal subunit protein mS40"@en	<path:hsa01100>	"Coronavirus disease - COVID-19 - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y676>	"Small ribosomal subunit protein mS40"@en	<path:hsa01100>	"Dilated cardiomyopathy - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y676>	"Small ribosomal subunit protein mS40"@en	<path:hsa01100>	"Hepatitis B - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y676>	"Small ribosomal subunit protein mS40"@en	<path:hsa01100>	"Hypertrophic cardiomyopathy - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y676>	"Small ribosomal subunit protein mS40"@en	<path:hsa01100>	"Leishmaniasis - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y676>	"Small ribosomal subunit protein mS40"@en	<path:hsa01100>	"Lipid and atherosclerosis - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y676>	"Small ribosomal subunit protein mS40"@en	<path:hsa01100>	"Lysosome - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y676>	"Small ribosomal subunit protein mS40"@en	<path:hsa01100>	"MicroRNAs in cancer - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y676>	"Small ribosomal subunit protein mS40"@en	<path:hsa01100>	"Neurotrophin signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y676>	"Small ribosomal subunit protein mS40"@en	<path:hsa01100>	"Nitrogen metabolism - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y676>	"Small ribosomal subunit protein mS40"@en	<path:hsa01100>	"NOD-like receptor signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y676>	"Small ribosomal subunit protein mS40"@en	<path:hsa01100>	"Osteoclast differentiation - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y676>	"Small ribosomal subunit protein mS40"@en	<path:hsa01100>	"Proteasome - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y676>	"Small ribosomal subunit protein mS40"@en	<path:hsa01100>	"Proteoglycans in cancer - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y676>	"Small ribosomal subunit protein mS40"@en	<path:hsa01100>	"Proximal tubule bicarbonate reclamation - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y676>	"Small ribosomal subunit protein mS40"@en	<path:hsa01100>	"Toll-like receptor signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y676>	"Small ribosomal subunit protein mS40"@en	<path:hsa01100>	"Toxoplasmosis - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y676>	"Small ribosomal subunit protein mS40"@en	<path:hsa01100>	"Vitamin digestion and absorption - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y676>	"Small ribosomal subunit protein mS40"@en	<path:hsa01100>	"Yersinia infection - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y676>	"Small ribosomal subunit protein mS40"	<path:hsa01100>	"Epstein-Barr virus infection - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y676>	"Small ribosomal subunit protein mS40"	<path:hsa01100>	"Viral carcinogenesis - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y676>	"Small ribosomal subunit protein mS40"	<path:hsa01100>	"Spliceosome - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y676>	"Small ribosomal subunit protein mS40"	<path:hsa01100>	"Protein processing in endoplasmic reticulum - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y676>	"Small ribosomal subunit protein mS40"	<path:hsa01100>	"Shigellosis - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y676>	"Small ribosomal subunit protein mS40"	<path:hsa01100>	"Salmonella infection - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y676>	"Small ribosomal subunit protein mS40"	<path:hsa01100>	"MAPK signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y676>	"Small ribosomal subunit protein mS40"	<path:hsa01100>	"Necroptosis - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y676>	"Small ribosomal subunit protein mS40"	<path:hsa01100>	"Neutrophil extracellular trap formation - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y676>	"Small ribosomal subunit protein mS40"	<path:hsa01100>	"Influenza A - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y676>	"Small ribosomal subunit protein mS40"	<path:hsa01100>	"Endocytosis - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y676>	"Small ribosomal subunit protein mS40"	<path:hsa01100>	"NF-kappa B signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y676>	"Small ribosomal subunit protein mS40"	<path:hsa01100>	"IL-17 signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y676>	"Small ribosomal subunit protein mS40"	<path:hsa01100>	"Alcoholic liver disease - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y676>	"Small ribosomal subunit protein mS40"	<path:hsa01100>	"Pathogenic Escherichia coli infection - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y676>	"Small ribosomal subunit protein mS40"	<path:hsa01100>	"TNF signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y676>	"Small ribosomal subunit protein mS40"	<path:hsa01100>	"Measles - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y676>	"Small ribosomal subunit protein mS40"	<path:hsa01100>	"Herpes simplex virus 1 infection - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y676>	"Small ribosomal subunit protein mS40"	<path:hsa01100>	"Human immunodeficiency virus 1 infection - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y676>	"Small ribosomal subunit protein mS40"	<path:hsa01100>	"Alcoholism - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y676>	"Small ribosomal subunit protein mS40"	<path:hsa01100>	"Apelin signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y676>	"Small ribosomal subunit protein mS40"	<path:hsa01100>	"Arrhythmogenic right ventricular cardiomyopathy - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y676>	"Small ribosomal subunit protein mS40"	<path:hsa01100>	"Coronavirus disease - COVID-19 - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y676>	"Small ribosomal subunit protein mS40"	<path:hsa01100>	"Dilated cardiomyopathy - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y676>	"Small ribosomal subunit protein mS40"	<path:hsa01100>	"Hepatitis B - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y676>	"Small ribosomal subunit protein mS40"	<path:hsa01100>	"Hypertrophic cardiomyopathy - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y676>	"Small ribosomal subunit protein mS40"	<path:hsa01100>	"Leishmaniasis - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y676>	"Small ribosomal subunit protein mS40"	<path:hsa01100>	"Lipid and atherosclerosis - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y676>	"Small ribosomal subunit protein mS40"	<path:hsa01100>	"Lysosome - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y676>	"Small ribosomal subunit protein mS40"	<path:hsa01100>	"MicroRNAs in cancer - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y676>	"Small ribosomal subunit protein mS40"	<path:hsa01100>	"Neurotrophin signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y676>	"Small ribosomal subunit protein mS40"	<path:hsa01100>	"Nitrogen metabolism - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y676>	"Small ribosomal subunit protein mS40"	<path:hsa01100>	"NOD-like receptor signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y676>	"Small ribosomal subunit protein mS40"	<path:hsa01100>	"Osteoclast differentiation - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y676>	"Small ribosomal subunit protein mS40"	<path:hsa01100>	"Proteasome - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y676>	"Small ribosomal subunit protein mS40"	<path:hsa01100>	"Proteoglycans in cancer - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y676>	"Small ribosomal subunit protein mS40"	<path:hsa01100>	"Proximal tubule bicarbonate reclamation - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y676>	"Small ribosomal subunit protein mS40"	<path:hsa01100>	"Toll-like receptor signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y676>	"Small ribosomal subunit protein mS40"	<path:hsa01100>	"Toxoplasmosis - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y676>	"Small ribosomal subunit protein mS40"	<path:hsa01100>	"Vitamin digestion and absorption - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y676>	"Small ribosomal subunit protein mS40"	<path:hsa01100>	"Yersinia infection - Homo sapiens (human)"@en
<http://localhost:8080/source/P01106>	"Myc proto-oncogene protein"@en	<path:hsa03250>	"MAPK signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/P01106>	"Myc proto-oncogene protein"@en	<path:hsa03250>	"Cellular senescence - Homo sapiens (human)"@en
