?virusCode	?virusName	?vaccineName	?vaccineDescription
"HBV"	"Hepatitis B virus"@en	"Recombinant vaccines (Engerix-B, Recombivax HB)"	"Protect against all major Hepatitis B strains and prevent liver cancer"@en
"HPV18"	"Human papillomavirus"@en	"Gardasil-9 (9vHPV)"	"Protect against HPV types 16 and 18 that cause most HPV cancers."@en
